Date,Close,Open,High,Low
06/02/2025,200.53,200.28,202.1,200.13
05/30/2025,200.85,199.37,201.96,196.78
05/29/2025,199.95,203.57,203.81,198.51
05/28/2025,200.42,200.59,202.73,199.9
05/27/2025,200.21,198.3,200.74,197.43
05/23/2025,195.27,193.66,197.7,193.46
05/22/2025,201.36,200.71,202.75,199.7
05/21/2025,202.09,205.17,207.04,200.71
05/20/2025,206.86,207.67,208.47,205.03
05/19/2025,208.78,207.91,209.48,204.26
05/16/2025,211.26,212.36,212.57,209.77
05/15/2025,211.45,210.95,212.96,209.54
05/14/2025,212.33,212.43,213.94,210.58
05/13/2025,212.93,210.43,213.4,209
05/12/2025,210.79,210.97,211.27,206.75
05/09/2025,198.53,199,200.54,197.54
05/08/2025,197.49,197.72,200.05,194.68
05/07/2025,196.25,199.17,199.44,193.25
05/06/2025,198.51,198.21,200.65,197.02
05/05/2025,198.89,203.1,204.1,198.21
05/02/2025,205.35,206.09,206.99,202.16
05/01/2025,213.32,209.08,214.56,208.9
04/30/2025,212.5,209.3,213.58,206.67
04/29/2025,211.21,208.69,212.24,208.37
04/28/2025,210.14,210,211.5,207.46
04/25/2025,209.28,206.37,209.75,206.2
04/24/2025,208.37,204.89,208.83,202.94
04/23/2025,204.6,206,208,202.8
04/22/2025,199.74,196.12,201.59,195.97
04/21/2025,193.16,193.26,193.8,189.81
04/17/2025,196.98,197.2,198.83,194.42
04/16/2025,194.27,198.36,200.7,192.37
04/15/2025,202.14,201.85,203.51,199.8
04/14/2025,202.52,211.44,212.94,201.16
04/11/2025,198.15,186.1,199.54,186.06
04/10/2025,190.42,189.07,194.78,183
04/09/2025,198.85,171.95,200.61,171.89
04/08/2025,172.42,186.7,190.34,169.21
04/07/2025,181.46,177.2,194.15,174.62
04/04/2025,188.38,193.89,199.88,187.34
04/03/2025,203.19,205.54,207.49,201.25
04/02/2025,223.89,221.32,225.19,221.02
04/01/2025,223.19,219.8,223.68,218.9
03/31/2025,222.13,217.01,225.62,216.23
03/28/2025,217.9,221.67,223.81,217.68
03/27/2025,223.85,221.39,224.99,220.56
03/26/2025,221.53,223.51,225.02,220.47
03/25/2025,223.75,220.77,224.1,220.08
03/24/2025,220.73,221,221.48,218.58
03/21/2025,218.27,211.56,218.84,211.28
03/20/2025,214.1,213.99,217.49,212.22
03/19/2025,215.24,214.22,218.76,213.75
03/18/2025,212.69,214.16,215.15,211.49
03/17/2025,214,213.31,215.22,209.97
03/14/2025,213.49,211.25,213.95,209.58
03/13/2025,209.68,215.95,216.84,208.42
03/12/2025,216.98,220.14,221.75,214.91
03/11/2025,220.84,223.8,225.84,217.45
03/10/2025,227.48,235.54,236.16,224.22
03/07/2025,239.07,235.1,241.37,234.76
03/06/2025,235.33,234.43,237.86,233.16
03/05/2025,235.74,235.42,236.55,229.23
03/04/2025,235.93,237.71,240.07,234.68
03/03/2025,238.03,241.79,244.03,236.11
02/28/2025,241.84,236.95,242.09,230.2
02/27/2025,237.3,239.41,242.46,237.06
02/26/2025,240.36,244.33,244.98,239.13
02/25/2025,247.04,248,250,244.91
02/24/2025,247.1,244.93,248.86,244.42
02/21/2025,245.55,245.95,248.69,245.22
02/20/2025,245.83,244.94,246.78,244.29
02/19/2025,244.87,244.66,246.01,243.16
02/18/2025,244.47,244.15,245.18,241.84
02/14/2025,244.6,241.25,245.55,240.99
02/13/2025,241.53,236.91,242.34,235.57
02/12/2025,236.87,231.2,236.96,230.68
02/11/2025,232.62,228.2,235.23,228.13
02/10/2025,227.65,229.57,230.59,227.2
02/07/2025,227.63,232.6,234,227.26
02/06/2025,233.22,231.29,233.8,230.43
02/05/2025,232.47,228.53,232.67,228.27
02/04/2025,232.8,227.25,233.13,226.65
02/03/2025,228.01,229.99,231.83,225.7
01/31/2025,236,247.19,247.19,233.44
01/30/2025,237.59,238.66,240.79,237.21
01/29/2025,239.36,234.12,239.85,234.01
01/28/2025,238.26,230.85,240.19,230.81
01/27/2025,229.86,224.02,232.15,223.98
01/24/2025,222.78,224.78,225.63,221.41
01/23/2025,223.66,224.74,227.03,222.3
01/22/2025,223.83,219.79,224.12,219.79
01/21/2025,222.64,224,224.42,219.38
01/17/2025,229.98,232.12,232.29,228.48
01/16/2025,228.26,237.35,238.01,228.03
01/15/2025,237.87,234.63,238.96,234.43
01/14/2025,233.28,234.75,236.12,232.47
01/13/2025,234.4,233.53,234.67,229.72
01/10/2025,236.85,240.01,240.16,233
01/08/2025,242.7,241.92,243.71,240.05
01/07/2025,242.21,242.98,245.55,241.35
01/06/2025,245,244.31,247.33,243.2
01/03/2025,243.36,243.36,244.18,241.89
01/02/2025,243.85,248.93,249.1,241.82
12/31/2024,250.42,252.44,253.28,249.43
12/30/2024,252.2,252.23,253.5,250.75
12/27/2024,255.59,257.83,258.7,253.06
12/26/2024,259.02,258.19,260.1,257.63
12/24/2024,258.2,255.49,258.21,255.29
12/23/2024,255.27,254.77,255.65,253.45
12/20/2024,254.49,248.04,255,245.69
12/19/2024,249.79,247.5,252,247.09
12/18/2024,248.05,252.16,254.28,247.74
12/17/2024,253.48,250.08,253.83,249.78
12/16/2024,251.04,247.99,251.38,247.65
12/13/2024,248.13,247.82,249.29,246.24
12/12/2024,247.96,246.89,248.74,245.68
12/11/2024,246.49,247.96,250.8,246.26
12/10/2024,247.77,246.89,248.21,245.34
12/09/2024,246.75,241.83,247.24,241.75
12/06/2024,242.84,242.9,244.63,242.08
12/05/2024,243.04,243.99,244.54,242.13
12/04/2024,243.01,242.87,244.11,241.25
12/03/2024,242.65,239.81,242.76,238.9
12/02/2024,239.59,237.27,240.79,237.16
11/29/2024,237.33,234.8,237.81,233.97
11/27/2024,234.93,234.46,235.69,233.81
11/26/2024,235.06,233.33,235.57,233.33
11/25/2024,232.87,231.46,233.24,229.74
11/22/2024,229.87,228.06,230.72,228.06
11/21/2024,228.52,228.88,230.15,225.71
11/20/2024,229,228.06,229.93,225.89
11/19/2024,228.28,226.98,230.16,226.66
11/18/2024,228.02,225.25,229.74,225.17
11/15/2024,225,226.4,226.92,224.27
11/14/2024,228.22,225.02,228.87,225
11/13/2024,225.12,224.01,226.65,222.76
11/12/2024,224.23,224.55,225.59,223.35
11/11/2024,224.23,225,225.7,221.5
11/08/2024,226.96,227.17,228.66,226.4
11/07/2024,227.48,224.63,227.88,224.57
11/06/2024,222.72,222.61,226.07,221.19
11/05/2024,223.45,221.79,223.95,221.14
11/04/2024,222.01,220.99,222.79,219.71
11/01/2024,222.91,220.96,225.35,220.27
10/31/2024,225.91,229.34,229.83,225.37
10/30/2024,230.1,232.61,233.47,229.55
10/29/2024,233.67,233.1,234.32,232.32
10/28/2024,233.4,233.32,234.73,232.55
10/25/2024,231.41,229.74,233.22,229.57
10/24/2024,230.57,229.98,230.82,228.41
10/23/2024,230.76,234.08,235.14,227.76
10/22/2024,235.86,233.88,236.22,232.6
10/21/2024,236.48,234.45,236.85,234.45
10/18/2024,235,236.18,236.18,234.01
10/17/2024,232.15,233.43,233.85,230.52
10/16/2024,231.78,231.6,232.12,229.84
10/15/2024,233.85,233.61,237.49,232.37
10/14/2024,231.3,228.7,231.73,228.6
10/11/2024,227.55,229.3,229.41,227.34
10/10/2024,229.04,227.78,229.5,227.17
10/09/2024,229.54,225.23,229.75,224.83
10/08/2024,225.77,224.3,225.98,223.25
10/07/2024,221.69,224.5,225.69,221.33
10/04/2024,226.8,227.9,228,224.13
10/03/2024,225.67,225.14,226.8,223.32
10/02/2024,226.78,225.89,227.37,223.02
10/01/2024,226.21,229.52,229.65,223.74
09/30/2024,233,230.04,233,229.65
09/27/2024,227.79,228.46,229.52,227.3
09/26/2024,227.52,227.3,228.5,225.41
09/25/2024,226.37,224.93,227.29,224.02
09/24/2024,227.37,228.65,229.35,225.73
09/23/2024,226.47,227.34,229.45,225.81
09/20/2024,228.2,229.97,233.09,227.62
09/19/2024,228.87,224.99,229.82,224.63
09/18/2024,220.69,217.55,222.71,217.54
09/17/2024,216.79,215.75,216.9,214.5
09/16/2024,216.32,216.54,217.22,213.92
09/13/2024,222.5,223.58,224.04,221.91
09/12/2024,222.77,222.5,223.55,219.82
09/11/2024,222.66,221.46,223.09,217.89
09/10/2024,220.11,218.92,221.48,216.73
09/09/2024,220.91,220.82,221.27,216.71
09/06/2024,220.82,223.95,225.24,219.77
09/05/2024,222.38,221.63,225.48,221.52
09/04/2024,220.85,221.66,221.78,217.48
09/03/2024,222.77,228.55,229,221.17
08/30/2024,229,230.19,230.4,227.48
08/29/2024,229.79,230.1,232.92,228.88
08/28/2024,226.49,227.92,229.86,225.68
08/27/2024,228.03,225.99,228.85,224.89
08/26/2024,227.18,226.76,227.28,223.89
08/23/2024,226.84,225.66,228.22,224.33
08/22/2024,224.53,227.79,228.34,223.9
08/21/2024,226.4,226.52,227.98,225.05
08/20/2024,226.51,225.77,227.17,225.45
08/19/2024,225.89,225.72,225.99,223.04
08/16/2024,226.05,223.92,226.83,223.65
08/15/2024,224.72,224.6,225.35,222.76
08/14/2024,221.72,220.57,223.03,219.7
08/13/2024,221.27,219.01,221.89,219.01
08/12/2024,217.53,216.07,219.51,215.6
08/09/2024,216.24,212.1,216.78,211.97
08/08/2024,213.31,213.11,214.2,208.83
08/07/2024,209.82,206.9,213.64,206.39
08/06/2024,207.23,205.3,209.99,201.07
08/05/2024,209.27,199.09,213.5,196
08/02/2024,219.86,219.15,225.6,217.71
08/01/2024,218.36,224.37,224.48,217.02
07/31/2024,222.08,221.44,223.82,220.63
07/30/2024,218.8,219.19,220.32,216.12
07/29/2024,218.24,216.96,219.3,215.75
07/26/2024,217.96,218.7,219.49,216.01
07/25/2024,217.49,218.93,220.85,214.62
07/24/2024,218.54,224,224.8,217.13
07/23/2024,225.01,224.37,226.94,222.68
07/22/2024,223.96,227.01,227.78,223.09
07/19/2024,224.31,224.82,226.8,223.27
07/18/2024,224.18,230.28,230.44,222.27
07/17/2024,228.88,229.45,231.46,226.64
07/16/2024,234.82,235,236.27,232.33
07/15/2024,234.4,236.48,237.23,233.09
07/12/2024,230.54,228.92,232.64,228.68
07/11/2024,227.57,231.39,232.39,225.77
07/10/2024,232.98,229.3,233.08,229.25
07/09/2024,228.68,227.93,229.4,226.37
07/08/2024,227.82,227.09,227.85,223.25
07/05/2024,226.34,221.65,226.45,221.65
07/03/2024,221.55,220,221.55,219.03
07/02/2024,220.27,216.15,220.38,215.1
07/01/2024,216.75,212.09,217.51,211.92
06/28/2024,210.62,215.77,216.07,210.3
06/27/2024,214.1,214.69,215.74,212.35
06/26/2024,213.25,211.5,214.86,210.64
06/25/2024,209.07,209.15,211.38,208.61
06/24/2024,208.14,207.72,212.7,206.59
06/21/2024,207.49,210.39,211.89,207.11
06/20/2024,209.68,213.93,214.24,208.85
06/18/2024,214.29,217.59,218.63,213
06/17/2024,216.67,213.37,218.95,212.72
06/14/2024,212.49,213.85,215.17,211.3
06/13/2024,214.24,214.74,216.75,211.6
06/12/2024,213.07,207.37,220.2,206.9
06/11/2024,207.15,193.65,207.16,193.63
06/10/2024,193.12,196.9,197.3,192.15
06/07/2024,196.89,194.65,196.94,194.14
06/06/2024,194.48,195.68,196.5,194.17
06/05/2024,195.87,195.4,196.9,194.87
06/04/2024,194.35,194.63,195.32,193.03
06/03/2024,194.03,192.9,194.99,192.52
05/31/2024,192.25,191.44,192.57,189.91
05/30/2024,191.29,190.76,192.18,190.63
05/29/2024,190.29,189.61,192.25,189.51
05/28/2024,189.99,191.51,193,189.1
05/24/2024,189.98,188.82,190.58,188.04
05/23/2024,186.88,190.98,191,186.63
05/22/2024,190.9,192.26,192.82,190.27
05/21/2024,192.35,191.09,192.73,190.92
05/20/2024,191.04,189.32,191.92,189.01
05/17/2024,189.87,189.51,190.81,189.18
05/16/2024,189.84,190.47,191.1,189.66
05/15/2024,189.72,187.91,190.65,187.37
05/14/2024,187.43,187.51,188.3,186.29
05/13/2024,186.28,185.43,187.1,184.62
05/10/2024,183.05,184.9,185.09,182.13
05/09/2024,184.57,182.56,184.66,182.11
05/08/2024,182.74,182.85,183.07,181.45
05/07/2024,182.4,183.45,184.9,181.32
05/06/2024,181.71,182.35,184.2,180.42
05/03/2024,183.38,186.65,187,182.66
05/02/2024,173.03,172.51,173.41,170.89
05/01/2024,169.3,169.58,172.71,169.11
04/30/2024,170.33,173.33,174.99,170
04/29/2024,173.5,173.37,176.03,173.1
04/26/2024,169.3,169.88,171.34,169.18
04/25/2024,169.89,169.52,170.61,168.15
04/24/2024,169.02,166.54,169.3,166.21
04/23/2024,166.9,165.35,167.05,164.92
04/22/2024,165.84,165.51,167.26,164.77
04/19/2024,165,166.21,166.4,164.07
04/18/2024,167.04,168.03,168.64,166.55
04/17/2024,168,169.61,170.65,168
04/16/2024,169.38,171.75,173.76,168.27
04/15/2024,172.69,175.36,176.63,172.5
04/12/2024,176.55,174.26,178.36,174.21
04/11/2024,175.04,168.34,175.46,168.16
04/10/2024,167.78,168.8,169.09,167.11
04/09/2024,169.67,168.7,170.08,168.35
04/08/2024,168.45,169.03,169.2,168.24
04/05/2024,169.58,169.59,170.39,168.95
04/04/2024,168.82,170.29,171.92,168.82
04/03/2024,169.65,168.79,170.68,168.58
04/02/2024,168.84,169.08,169.34,168.23
04/01/2024,170.03,171.19,171.25,169.48
03/28/2024,171.48,171.75,172.23,170.51
03/27/2024,173.31,170.41,173.6,170.11
03/26/2024,169.71,170,171.42,169.58
03/25/2024,170.85,170.57,171.94,169.45
03/22/2024,172.28,171.76,173.05,170.06
03/21/2024,171.37,177.05,177.49,170.84
03/20/2024,178.67,175.72,178.67,175.09
03/19/2024,176.08,174.34,176.6,173.03
03/18/2024,173.72,175.57,177.71,173.52
03/15/2024,172.62,171.17,172.62,170.29
03/14/2024,173,172.91,174.31,172.05
03/13/2024,171.13,172.77,173.18,170.76
03/12/2024,173.23,173.15,174.03,171.01
03/11/2024,172.75,172.94,174.38,172.05
03/08/2024,170.73,169,173.7,168.94
03/07/2024,169,169.15,170.73,168.49
03/06/2024,169.12,171.06,171.24,168.68
03/05/2024,170.12,170.76,172.04,169.62
03/04/2024,175.1,176.15,176.9,173.79
03/01/2024,179.66,179.55,180.53,177.38
02/29/2024,180.75,181.27,182.57,179.53
02/28/2024,181.42,182.51,183.12,180.13
02/27/2024,182.63,181.1,183.92,179.56
02/26/2024,181.16,182.24,182.76,180.65
02/23/2024,182.52,185.01,185.04,182.23
02/22/2024,184.37,183.48,184.96,182.46
02/21/2024,182.32,181.94,182.89,180.66
02/20/2024,181.56,181.79,182.43,180
02/16/2024,182.31,183.42,184.85,181.66
02/15/2024,183.86,183.55,184.49,181.35
02/14/2024,184.15,185.32,185.53,182.44
02/13/2024,185.04,185.77,186.21,183.51
02/12/2024,187.15,188.41,188.67,186.79
02/09/2024,188.85,188.65,189.99,188
02/08/2024,188.32,189.38,189.54,187.35
02/07/2024,189.41,190.64,191.05,188.61
02/06/2024,189.3,186.86,189.31,186.77
02/05/2024,187.68,188.15,189.25,185.84
02/02/2024,185.85,179.86,187.33,179.25
02/01/2024,186.86,183.99,186.95,183.82
01/31/2024,184.4,187.04,187.1,184.35
01/30/2024,188.04,190.94,191.8,187.47
01/29/2024,191.73,192.01,192.2,189.58
01/26/2024,192.42,194.27,194.76,191.94
01/25/2024,194.17,195.22,196.27,193.11
01/24/2024,194.5,195.42,196.38,194.34
01/23/2024,195.18,195.02,195.75,193.83
01/22/2024,193.89,192.3,195.33,192.26
01/19/2024,191.56,189.33,191.95,188.82
01/18/2024,188.63,186.09,189.14,185.83
01/17/2024,182.68,181.27,182.93,180.3
01/16/2024,183.63,182.16,184.26,180.93
01/12/2024,185.92,186.06,186.74,185.19
01/11/2024,185.59,186.54,187.05,183.62
01/10/2024,186.19,184.35,186.4,183.92
01/09/2024,185.14,183.92,185.15,182.73
01/08/2024,185.56,182.09,185.6,181.5
01/05/2024,181.18,181.99,182.76,180.17
01/04/2024,181.91,182.15,183.09,180.88
01/03/2024,184.25,184.22,185.88,183.43
01/02/2024,185.64,187.15,188.44,183.88
12/29/2023,192.53,193.9,194.4,191.73
12/28/2023,193.58,194.14,194.66,193.17
12/27/2023,193.15,192.49,193.5,191.09
12/26/2023,193.05,193.61,193.89,192.83
12/22/2023,193.6,195.18,195.41,192.97
12/21/2023,194.68,196.1,197.08,193.5
12/20/2023,194.83,196.9,197.68,194.83
12/19/2023,196.94,196.16,196.95,195.89
12/18/2023,195.89,196.09,196.63,194.39
12/15/2023,197.57,197.53,198.4,197
12/14/2023,198.11,198.02,199.62,196.16
12/13/2023,197.96,195.09,198,194.85
12/12/2023,194.71,193.08,194.72,191.72
12/11/2023,193.18,193.11,193.49,191.42
12/08/2023,195.71,194.2,195.99,193.67
12/07/2023,194.27,193.63,195,193.59
12/06/2023,192.32,194.45,194.76,192.11
12/05/2023,193.42,190.21,194.4,190.18
12/04/2023,189.43,189.98,190.05,187.45
12/01/2023,191.24,190.33,191.56,189.23
11/30/2023,189.95,189.84,190.32,188.19
11/29/2023,189.37,190.9,192.09,188.97
11/28/2023,190.4,189.78,191.08,189.4
11/27/2023,189.79,189.92,190.67,188.9
11/24/2023,189.97,190.87,190.9,189.25
11/22/2023,191.31,191.49,192.93,190.82
11/21/2023,190.64,191.41,191.52,189.74
11/20/2023,191.45,189.89,191.9,189.88
11/17/2023,189.69,190.25,190.38,188.57
11/16/2023,189.71,189.57,190.96,188.65
11/15/2023,188.01,187.85,189.5,187.78
11/14/2023,187.44,187.7,188.11,186.3
11/13/2023,184.8,185.82,186.03,184.21
11/10/2023,186.4,183.97,186.57,183.53
11/09/2023,182.41,182.96,184.12,181.81
11/08/2023,182.89,182.35,183.45,181.59
11/07/2023,181.82,179.18,182.44,178.97
11/06/2023,179.23,176.38,179.43,176.21
11/03/2023,176.65,174.24,176.82,173.35
11/02/2023,177.57,175.52,177.78,175.46
11/01/2023,173.97,171,174.23,170.12
10/31/2023,170.77,169.35,170.9,167.9
10/30/2023,170.29,169.02,171.17,168.87
10/27/2023,168.22,166.91,168.96,166.83
10/26/2023,166.89,170.37,171.38,165.67
10/25/2023,171.1,171.88,173.06,170.65
10/24/2023,173.44,173.05,173.67,171.45
10/23/2023,173,170.91,174.01,169.93
10/20/2023,172.88,175.31,175.42,172.64
10/19/2023,175.46,176.04,177.84,175.19
10/18/2023,175.84,175.58,177.57,175.11
10/17/2023,177.15,176.65,178.42,174.8
10/16/2023,178.72,176.75,179.07,176.51
10/13/2023,178.85,181.42,181.93,178.14
10/12/2023,180.71,180.07,182.34,179.04
10/11/2023,179.8,178.2,179.85,177.6
10/10/2023,178.39,178.1,179.72,177.95
10/09/2023,178.99,176.81,179.05,175.8
10/06/2023,177.49,173.8,177.99,173.18
10/05/2023,174.91,173.79,175.45,172.68
10/04/2023,173.66,171.09,174.21,170.97
10/03/2023,172.4,172.26,173.63,170.82
10/02/2023,173.75,171.22,174.3,170.93
09/29/2023,171.21,172.02,173.07,170.34
09/28/2023,170.69,169.34,172.03,167.62
09/27/2023,170.43,172.62,173.04,169.05
09/26/2023,171.96,174.82,175.2,171.66
09/25/2023,176.08,174.2,176.97,174.15
09/22/2023,174.79,174.67,177.08,174.05
09/21/2023,173.93,174.55,176.3,173.86
09/20/2023,175.49,179.26,179.7,175.4
09/19/2023,179.07,177.52,179.63,177.13
09/18/2023,177.97,176.48,179.38,176.17
09/15/2023,175.01,176.48,176.49,173.82
09/14/2023,175.74,174,176.1,173.58
09/13/2023,174.21,176.51,177.3,173.98
09/12/2023,176.3,179.49,180.13,174.82
09/11/2023,179.36,180.07,180.3,177.34
09/08/2023,178.18,178.35,180.24,177.79
09/07/2023,177.56,175.18,178.21,173.54
09/06/2023,182.91,188.4,188.85,181.47
09/05/2023,189.7,188.28,189.98,187.61
09/01/2023,189.46,189.49,189.92,188.28
08/31/2023,187.87,187.84,189.12,187.48
08/30/2023,187.65,184.94,187.85,184.74
08/29/2023,184.12,179.7,184.9,179.5
08/28/2023,180.19,180.09,180.59,178.54
08/25/2023,178.61,177.38,179.15,175.82
08/24/2023,176.38,180.67,181.1,176.01
08/23/2023,181.12,178.52,181.55,178.32
08/22/2023,177.23,177.06,177.68,176.25
08/21/2023,175.84,175.07,176.13,173.74
08/18/2023,174.49,172.3,175.1,171.96
08/17/2023,174,177.14,177.51,173.48
08/16/2023,176.57,177.13,178.54,176.5
08/15/2023,177.45,178.88,179.48,177.05
08/14/2023,179.46,177.97,179.69,177.3
08/11/2023,177.79,177.32,178.62,176.55
08/10/2023,177.97,179.48,180.75,177.6
08/09/2023,178.19,180.87,180.93,177.01
08/08/2023,179.8,179.69,180.27,177.58
08/07/2023,178.85,182.13,183.13,177.35
08/04/2023,181.99,185.52,187.38,181.92
08/03/2023,191.17,191.57,192.37,190.69
08/02/2023,192.58,195.04,195.18,191.85
08/01/2023,195.6,196.24,196.73,195.28
07/31/2023,196.45,196.06,196.49,195.26
07/28/2023,195.83,194.67,196.63,194.14
07/27/2023,193.22,196.02,197.2,192.55
07/26/2023,194.5,193.67,195.64,193.32
07/25/2023,193.62,193.33,194.44,192.91
07/24/2023,192.75,193.41,194.91,192.25
07/21/2023,191.94,194.1,194.97,191.23
07/20/2023,193.13,195.09,196.47,192.49
07/19/2023,195.1,193.1,198.23,192.65
07/18/2023,193.73,193.35,194.33,192.41
07/17/2023,193.99,191.9,194.32,191.81
07/14/2023,190.69,190.23,191.18,189.63
07/13/2023,190.54,190.5,191.19,189.78
07/12/2023,189.77,189.68,191.7,188.47
07/11/2023,188.08,189.16,189.3,186.6
07/10/2023,188.61,189.26,189.99,187.04
07/07/2023,190.68,191.41,192.67,190.24
07/06/2023,191.81,189.84,192.02,189.2
07/05/2023,191.33,191.57,192.98,190.62
07/03/2023,192.46,193.78,193.88,191.76
06/30/2023,193.97,191.63,194.48,191.26
06/29/2023,189.59,189.08,190.07,188.94
06/28/2023,189.25,187.93,189.9,187.6
06/27/2023,188.06,185.89,188.39,185.67
06/26/2023,185.27,186.83,188.05,185.23
06/23/2023,186.68,185.55,187.56,185.01
06/22/2023,187,183.74,187.04,183.67
06/21/2023,183.96,184.9,185.41,182.59
06/20/2023,185.01,184.41,186.1,184.41
06/16/2023,184.92,186.73,186.99,184.27
06/15/2023,186.01,183.96,186.52,183.78
06/14/2023,183.95,183.37,184.39,182.02
06/13/2023,183.31,182.8,184.15,182.44
06/12/2023,183.79,181.27,183.89,180.97
06/09/2023,180.96,181.5,182.23,180.63
06/08/2023,180.57,177.9,180.84,177.46
06/07/2023,177.82,178.44,181.21,177.32
06/06/2023,179.21,179.96,180.12,177.43
06/05/2023,179.58,182.63,184.95,178.04
06/02/2023,180.95,181.03,181.78,179.26
06/01/2023,180.09,177.7,180.12,176.93
05/31/2023,177.25,177.32,179.35,176.76
05/30/2023,177.3,176.96,178.99,176.57
05/26/2023,175.43,173.32,175.77,173.11
05/25/2023,172.99,172.41,173.9,171.69
05/24/2023,171.84,171.09,172.42,170.52
05/23/2023,171.56,173.13,173.38,171.27
05/22/2023,174.2,173.98,174.71,173.45
05/19/2023,175.16,176.39,176.39,174.94
05/18/2023,175.05,173,175.24,172.58
05/17/2023,172.69,171.71,172.93,170.42
05/16/2023,172.07,171.99,173.14,171.8
05/15/2023,172.07,173.16,173.21,171.47
05/12/2023,172.57,173.62,174.06,171
05/11/2023,173.75,173.85,174.59,172.17
05/10/2023,173.55,173.02,174.03,171.9
05/09/2023,171.77,173.05,173.54,171.6
05/08/2023,173.5,172.48,173.85,172.11
05/05/2023,173.57,170.98,174.3,170.76
05/04/2023,165.79,164.89,167.04,164.31
05/03/2023,167.45,169.5,170.92,167.16
05/02/2023,168.54,170.09,170.35,167.54
05/01/2023,169.59,169.28,170.45,168.64
04/28/2023,169.68,168.49,169.85,167.88
04/27/2023,168.41,165.19,168.56,165.19
04/26/2023,163.76,163.05,165.28,162.8
04/25/2023,163.77,165.19,166.3,163.73
04/24/2023,165.33,165,165.6,163.89
04/21/2023,165.02,165.05,166.45,164.49
04/20/2023,166.65,166.09,167.87,165.56
04/19/2023,167.63,165.8,168.16,165.54
04/18/2023,166.47,166.1,167.41,165.65
04/17/2023,165.23,165.09,165.39,164.03
04/14/2023,165.21,164.59,166.32,163.82
04/13/2023,165.56,161.63,165.8,161.42
04/12/2023,160.1,161.22,162.06,159.78
04/11/2023,160.8,162.35,162.36,160.51
04/10/2023,162.03,161.42,162.03,160.08
04/06/2023,164.66,162.43,164.96,162
04/05/2023,163.76,164.74,165.05,161.8
04/04/2023,165.63,166.6,166.84,165.11
04/03/2023,166.17,164.27,166.29,164.22
03/31/2023,164.9,162.44,165,161.91
03/30/2023,162.36,161.53,162.47,161.27
03/29/2023,160.77,159.37,161.05,159.35
03/28/2023,157.65,157.97,158.49,155.98
03/27/2023,158.28,159.94,160.77,157.87
03/24/2023,160.25,158.86,160.34,157.85
03/23/2023,158.93,158.83,161.55,157.68
03/22/2023,157.83,159.3,162.14,157.81
03/21/2023,159.28,157.32,159.4,156.54
03/20/2023,157.4,155.07,157.82,154.15
03/17/2023,155,156.08,156.74,154.28
